"species","soil.nitrogen","biomass.raw"
"Agropyron",98.8467874794071,0
"Agropyron",96.8698517298187,0
"Agropyron",120.593080724877,0
"Agropyron",190.413223140496,0.264204545454545
"Agropyron",209.555189456343,0
"Agropyron",231.301482701812,0
"Agropyron",247.116968698518,0
"Agropyron",255.02471169687,0
"Agropyron",270.840197693575,0
"Agropyron",304.448105436574,0
"Agropyron",361.77924217463,0
"Agropyron",407.248764415156,0
"Agropyron",444.810543657332,0
"Agropyron",448.764415156508,0
"Agropyron",468.533772652389,0
"Agropyron",486.326194398682,0
"Agropyron",559.472817133443,0
"Agropyron",583.196046128501,0
"Agropyron",634.596375617793,0
"Agropyron",816.474464579902,0
"Agropyron",907.413509060955,0
"Agropyron",1091.26853377265,0
"Agropyron",1063.59143327842,0
"Agropyron",1073.47611202636,0
"Agropyron",502.141680395387,0
"Agropyron",506.095551894563,0
"Schizachyrium",98.8467874794071,0.599431818181818
"Schizachyrium",96.8698517298187,0.528409090909091
"Schizachyrium",120.593080724877,0.522727272727273
"Schizachyrium",189.785831960461,0.551136363636364
"Schizachyrium",209.555189456343,0.619318181818182
"Schizachyrium",231.301482701812,0.664772727272727
"Schizachyrium",247.116968698518,0.639204545454546
"Schizachyrium",255.02471169687,0.613636363636364
"Schizachyrium",270.840197693575,0.471590909090909
"Schizachyrium",304.448105436574,0.65625
"Schizachyrium",361.77924217463,0.715909090909091
"Schizachyrium",407.248764415156,0.772727272727273
"Schizachyrium",444.810543657332,0.826704545454546
"Schizachyrium",448.764415156508,0.755681818181818
"Schizachyrium",468.533772652389,0.761363636363636
"Schizachyrium",486.326194398682,0.698863636363636
"Schizachyrium",559.472817133443,0.872159090909091
"Schizachyrium",583.196046128501,0.821022727272727
"Schizachyrium",634.596375617793,0.818181818181818
"Schizachyrium",816.474464579902,0.892045454545455
"Schizachyrium",907.413509060955,0.877840909090909
"Schizachyrium",1091.26853377265,0.934659090909091
"Schizachyrium",1063.59143327842,0.886363636363636
"Schizachyrium",1073.47611202636,0.863636363636364
"Schizachyrium",502.141680395387,0.784090909090909
"Schizachyrium",506.095551894563,0.792613636363636
