"species","soil.nitrogen","biomass.raw"
"Agropyron",93.8110749185668,0.324022346368715
"Agropyron",105.537459283388,0.511173184357542
"Agropyron",111.400651465798,0.393854748603352
"Agropyron",185.667752442997,0.270949720670391
"Agropyron",232.57328990228,0.371508379888268
"Agropyron",207.166123778502,0.483240223463687
"Agropyron",175.895765472313,0.527932960893855
"Agropyron",207.166123778502,0.575418994413408
"Agropyron",238.436482084691,0.594972067039106
"Agropyron",338.110749185668,0.650837988826816
"Agropyron",343.973941368078,0.583798882681564
"Agropyron",398.697068403909,0.645251396648045
"Agropyron",414.332247557003,0.569832402234637
"Agropyron",449.511400651466,0.670391061452514
"Agropyron",480.781758957655,0.639664804469274
"Agropyron",492.508143322476,0.600558659217877
"Agropyron",504.234527687296,0.670391061452514
"Agropyron",498.371335504886,0.709497206703911
"Agropyron",506.188925081433,0.723463687150838
"Agropyron",549.185667752443,0.675977653631285
"Agropyron",637.133550488599,0.756983240223464
"Agropyron",664.495114006515,0.70391061452514
"Agropyron",877.524429967427,0.720670391061452
"Agropyron",1020.19543973941,0.555865921787709
"Agropyron",1078.82736156352,0.776536312849162
"Agropyron",1086.64495114007,0.731843575418994
"Agropyron",1115.96091205212,0.625698324022346
"Poa",91.7073170731705,-0.002801120448179
"Poa",105.365853658536,0.34733893557423
"Poa",109.268292682927,0.431372549019608
"Poa",177.560975609756,0.330532212885154
"Poa",185.365853658536,0.095238095238095
"Poa",206.829268292683,0.002801120448179
"Poa",204.878048780488,0.453781512605042
"Poa",230.243902439023,0.459383753501401
"Poa",238.048780487805,0.445378151260504
"Poa",341.463414634146,0.109243697478992
"Poa",337.560975609756,0.117647058823529
"Poa",396.09756097561,0.106442577030812
"Poa",411.707317073171,0.341736694677871
"Poa",450.731707317074,0
"Poa",480,0.198879551820728
"Poa",505.365853658537,0.03641456582633
"Poa",503.414634146342,0.235294117647059
"Poa",491.707317073171,0.509803921568628
"Poa",499.512195121951,0.464985994397759
"Poa",550.243902439024,0.38655462184874
"Poa",636.09756097561,0.277310924369748
"Poa",665.365853658536,0.582633053221289
"Poa",876.09756097561,0.546218487394958
"Poa",1020.48780487805,0.837535014005602
"Poa",1079.0243902439,0.708683473389356
"Poa",1088.78048780488,0.728291316526611
"Poa",1116.09756097561,0.815126050420168
