"species","soil.nitrogen","biomass.raw"
"Agropyron",78.5597381342063,0.519886363636364
"Agropyron",94.2716857610475,0.536931818181818
"Agropyron",90.3436988543372,0.383522727272727
"Agropyron",198.363338788871,0.553977272727273
"Agropyron",198.363338788871,0.536931818181818
"Agropyron",206.219312602291,0.400568181818182
"Agropyron",231.751227495908,0.633522727272727
"Agropyron",255.31914893617,0.565340909090909
"Agropyron",243.535188216039,0.505681818181818
"Agropyron",400.654664484452,0.644886363636364
"Agropyron",404.582651391162,0.659090909090909
"Agropyron",451.718494271686,0.704545454545455
"Agropyron",441.89852700491,0.650568181818182
"Agropyron",469.394435351882,0.647727272727273
"Agropyron",481.178396072013,0.670454545454546
"Agropyron",481.178396072013,0.710227272727273
"Agropyron",518.494271685761,0.732954545454545
"Agropyron",504.746317512275,0.735795454545454
"Agropyron",608.837970540098,0.721590909090909
"Agropyron",669.721767594108,0.764204545454546
"Agropyron",705.073649754501,0.801136363636364
"Agropyron",844.517184942717,0.801136363636364
"Agropyron",852.373158756137,0.798295454545455
"Agropyron",872.013093289689,0.792613636363636
"Agropyron",1046.8085106383,0.838068181818182
"Agropyron",1054.66448445172,0.815340909090909
"Agropyron",1074.30441898527,0.863636363636364
"Agrostis",77.1004942339378,0.514204545454545
"Agrostis",88.9621087314658,0.392045454545454
"Agrostis",92.9159802306422,0.213068181818182
"Agrostis",195.716639209226,0.582386363636364
"Agrostis",203.624382207578,0.534090909090909
"Agrostis",243.16309719934,0.323863636363636
"Agrostis",229.324546952224,0.088068181818182
"Agrostis",197.693574958814,0
"Agrostis",255.02471169687,0
"Agrostis",395.387149917627,0.471590909090909
"Agrostis",440.856672158155,0.519886363636364
"Agrostis",399.341021416804,0.119318181818181
"Agrostis",504.118616144975,0.176136363636364
"Agrostis",515.980230642504,0.372159090909091
"Agrostis",448.764415156507,0.002840909090909
"Agrostis",470.510708401977,0.002840909090909
"Agrostis",480.395387149918,0.014204545454545
"Agrostis",606.919275123559,0.221590909090909
"Agrostis",668.204283360791,0.002840909090909
"Agrostis",701.812191103789,0.002840909090909
"Agrostis",844.151565074135,0.09375
"Agrostis",848.105436573311,2.22044604925031E-16
"Agrostis",873.805601317957,0
"Agrostis",1049.7528830313,2.22044604925031E-16
"Agrostis",1057.66062602965,0
"Agrostis",1077.42998352554,2.22044604925031E-16
"Agrostis",707.742998352553,0.002840909090909
